x,y,z
-5,-5,21.063276
-3.75,-5,21.432448
-2.5,-5,22.774237
-1.25,-5,25.400264
0,-5,27.655355
1.25,-5,28.231448
2.5,-5,25.847739
3.75,-5,23.757762
5,-5,21.4547
-5,-3.75,21.32314
-3.75,-3.75,22.001417
-2.5,-3.75,25.471072
-1.25,-3.75,31.573472
0,-3.75,36.82574
1.25,-3.75,37.679344
2.5,-3.75,32.846048
3.75,-3.75,26.381131
5,-3.75,22.037528
-5,-2.5,21.021196
-3.75,-2.5,23.771409
-2.5,-2.5,28.589222
-1.25,-2.5,38.311185
0,-2.5,47.75994
1.25,-2.5,49.309841
2.5,-2.5,40.737216
3.75,-2.5,29.961629
5,-2.5,23.941339
-5,-1.25,21.239743
-3.75,-1.25,23.324981
-2.5,-1.25,30.184909
-1.25,-1.25,43.469814
0,-1.25,56.545886
1.25,-1.25,58.356592
2.5,-1.25,47.440634
3.75,-1.25,33.924885
5,-1.25,24.512452
-5,0,21.428418
-3.75,0,24.043494
-2.5,0,31.413976
-1.25,0,44.034828
0,0,58.003386
1.25,0,59.610471
2.5,0,48.662992
3.75,0,33.712079
5,0,24.414486
-5,1.25,21.956751
-3.75,1.25,23.661507
-2.5,1.25,29.252085
-1.25,1.25,40.503967
0,1.25,50.528879
1.25,1.25,52.369079
2.5,1.25,42.912377
3.75,1.25,30.757551
5,1.25,23.605658
-5,2.5,21.031915
-3.75,2.5,22.361109
-2.5,2.5,26.096953
-1.25,2.5,32.308801
0,2.5,39.087136
1.25,2.5,40.224881
2.5,2.5,34.121513
3.75,2.5,26.616256
5,2.5,22.184102
-5,3.75,20.086225
-3.75,3.75,21.259666
-2.5,3.75,23.438787
-1.25,3.75,26.252542
0,3.75,29.361688
1.25,3.75,29.729098
2.5,3.75,26.925545
3.75,3.75,23.260368
5,3.75,20.99835
-5,5,20.285309
-3.75,5,20.895215
-2.5,5,21.252052
-1.25,5,22.8315
0,5,23.626517
1.25,5,23.912244
2.5,5,22.692544
3.75,5,20.960999
5,5,20.319788
